Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-10-30,ALK.AX,1.015,1.015,0.970,0.980,0.980,3105181
2025-10-30,AMP.AX,1.740,1.765,1.730,1.730,1.730,4302859
2025-10-30,ASM.AX,0.955,0.955,0.885,0.920,0.920,1420669
2025-10-30,BHP.AX,44.280,44.550,43.810,43.880,43.880,7159545
2025-10-30,CAN.AX,0.013,0.013,0.012,0.012,0.012,7270581
2025-10-30,CBA.AX,169.230,172.040,169.160,170.530,170.530,1317637
2025-10-30,CNB.AX,0.435,0.440,0.415,0.420,0.420,176677
2025-10-30,E25.AX,0.340,0.340,0.325,0.325,0.325,60512
2025-10-30,ERA.AX,0.003,0.003,0.002,0.003,0.003,4112358
2025-10-30,PTR.AX,0.277,0.290,0.275,0.280,0.280,175864
2025-10-30,VML.AX,0.215,0.230,0.200,0.200,0.200,444619
2025-10-30,WBC.AX,38.240,38.820,38.200,38.330,38.330,4180124
2025-10-30,WDS.AX,24.360,24.570,24.300,24.500,24.500,3813820
