Date,Ticker,Shares,Open,High,Low,Close,Volume,Value
2025-01-02,ALK.AX,153181,0.510,0.530,0.510,0.530,387183,81185.93
2025-01-02,AMP.AX,70000,1.550,1.600,1.520,1.595,7347658,111650.00
2025-01-02,ASM.AX,57458,0.520,0.535,0.515,0.530,208314,30452.74
2025-01-02,BHP.AX,16327,39.500,39.985,39.490,39.960,4682324,652426.91
2025-01-02,CAN.AX,44090,0.039,0.039,0.038,0.038,555156,1675.42
2025-01-02,CBA.AX,0,153.250,153.980,152.500,153.570,878386,0.00
2025-01-02,CNB.AX,10000,0.350,0.350,0.340,0.340,50099,3400.00
2025-01-02,E25.AX,20000,0.255,0.255,0.255,0.255,5585,5100.00
2025-01-02,ERA.AX,700000,0.002,0.003,0.002,0.003,349766,2100.00
2025-01-02,PTR.AX,9412,0.315,0.350,0.315,0.335,1289186,3153.02
2025-01-02,VML.AX,6000,0.150,0.150,0.150,0.150,10,900.00
2025-01-02,WBC.AX,0,32.240,32.470,32.115,32.410,1963045,0.00
2025-01-02,WDS.AX,1288,24.660,25.000,24.640,24.960,2889714,32148.48
2025-01-03,ALK.AX,153181,0.535,0.545,0.530,0.530,656832,81185.93
2025-01-03,AMP.AX,70000,1.580,1.610,1.570,1.610,5432024,112700.00
2025-01-03,ASM.AX,57458,0.515,0.565,0.515,0.550,251838,31601.90
2025-01-03,BHP.AX,16327,39.850,40.040,39.680,39.760,4364816,649161.49
2025-01-03,CAN.AX,44090,0.038,0.038,0.038,0.038,51893,1675.42
2025-01-03,CBA.AX,0,154.530,155.655,153.600,155.030,888021,0.00
2025-01-03,CNB.AX,10000,0.345,0.345,0.340,0.345,18467,3450.00
2025-01-03,E25.AX,20000,0.255,0.255,0.250,0.250,55300,5000.00
2025-01-03,ERA.AX,700000,0.003,0.003,0.002,0.003,5826121,2100.00
2025-01-03,PTR.AX,9412,0.340,0.375,0.340,0.365,2483365,3435.38
2025-01-03,VML.AX,6000,0.150,0.150,0.100,0.100,59983,600.00
2025-01-03,WBC.AX,0,32.400,32.700,32.320,32.640,2115868,0.00
2025-01-03,WDS.AX,1288,25.180,25.310,25.000,25.200,4072982,32457.60
2025-01-06,ALK.AX,153181,0.545,0.545,0.520,0.525,334952,80420.02
2025-01-06,AMP.AX,70000,1.610,1.630,1.602,1.620,3349761,113400.00
2025-01-06,ASM.AX,57458,0.550,0.555,0.530,0.545,155951,31314.61
2025-01-06,BHP.AX,16327,39.250,39.280,38.820,38.980,8228960,636426.45
2025-01-06,CAN.AX,44090,0.039,0.039,0.038,0.038,363444,1675.42
2025-01-06,CBA.AX,0,156.000,156.755,155.240,156.020,1032059,0.00
