Portfolio value change between 2026-08-28 and 2026-08-31

Ticker,Close,+/-,%,Units,Value,Day Gain
ALK,1.9,-0.025,-1.30%,153181,291043.9,-3829.53
AMP,2.38,0.02,0.85%,70000,166600.0,1400.0
ASM,0.0,-1.17,-100.00%,57458,0.0,-67225.86
BHP,66.23,-1.07,-1.59%,9000,596070.0,-9630.0
CAN,0.004,0.0,0.00%,44090,176.36,0.0
CBA,159.9,2.65,1.69%,0,0.0,0.0
CNB,0.965,-0.045,-4.46%,10000,9650.0,-450.0
CSL,171.57,-0.75,-0.44%,4000,686280.0,-3000.0
E25,0.27,-0.015,-5.26%,20000,5400.0,-300.0
ERA,0.0,-0.002,-100.00%,700000,0.0,-1400.0
PTR,0.11,0.0,0.00%,9412,1035.32,0.0
VML,0.1,0.0,0.00%,6000,600.0,0.0
WBC,34.55,0.65,1.92%,0,0.0,0.0
WDS,32.42,0.15,0.46%,1288,41756.96,193.2
TOTAL,,,,,1798612.54,-84242.18
