Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.030   0.010    0.98%  153,181  157,776.43    1,531.81
AMP       1.750  -0.010   -0.57%   70,000  122,500.00     -700.00
ASM       0.875  -0.040   -4.37%   57,458   50,275.75   -2,298.32
BHP      42.540  -0.830   -1.91%   16,361  695,996.94  -13,579.63
CAN       0.011   0.000    0.00%   44,090      484.99        0.00
CBA     174.110  -1.430   -0.81%        0        0.00        0.00
CNB       0.380  -0.005   -1.30%   10,000    3,800.00      -50.00
E25       0.305   0.000    0.00%   20,000    6,100.00        0.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00     -700.00
PTR       0.295   0.020    7.27%    9,412    2,776.54      188.24
VML       0.290  -0.010   -3.33%    6,000    1,740.00      -60.00
WBC      40.420   0.600    1.51%        0        0.00        0.00
WDS      24.940  -0.180   -0.72%    1,288   32,122.72     -231.84
TOTAL                                    1,074,973.37  -15,899.74
