Portfolio value change between 2025-11-10 and 2025-11-11

Ticker    Close      +/-        %    Units       Value   Day Gain
ALK       1.105    0.040    3.76%  153,181  169,265.01   6,127.24
AMP       1.695   -0.020   -1.17%   70,000  118,650.00  -1,400.00
ASM       0.760    0.030    4.11%   57,458   43,668.08   1,723.74
BHP      42.790    0.140    0.33%   16,361  700,087.19   2,290.54
CAN       0.011   -0.001   -8.33%   44,090      484.99     -44.09
CBA     163.400  -11.520   -6.59%        0        0.00       0.00
CNB       0.380    0.010    2.70%   10,000    3,800.00     100.00
E25       0.330    0.000    0.00%   20,000    6,600.00       0.00
ERA       0.002   -0.001  -33.33%  700,000    1,400.00    -700.00
PTR       0.270   -0.020   -6.90%    9,412    2,541.24    -188.24
VML       0.240   -0.010   -4.00%    6,000    1,440.00     -60.00
WBC      40.050    0.530    1.34%        0        0.00       0.00
WDS      26.550    0.410    1.57%    1,288   34,196.40     528.08
TOTAL                                     1,082,132.90   8,377.27
