Portfolio value change between 2025-12-11 and 2025-12-12

Ticker    Close     +/-        %    Units       Value  Day Gain
ALK       1.120   0.060    5.66%  153,181  171,562.72  9,190.86
AMP       1.845   0.025    1.37%   70,000  129,150.00  1,750.00
ASM       0.580   0.010    1.75%   57,458   33,325.64    574.58
BHP      45.590   0.490    1.09%   16,361  745,897.99  8,016.89
CAN       0.008  -0.001  -11.11%   44,090      352.72    -44.09
CBA     155.960   3.220    2.11%        0        0.00      0.00
CNB       0.425   0.045   11.84%   10,000    4,250.00    450.00
E25       0.310   0.020    6.90%   20,000    6,200.00    400.00
ERA       0.002   0.000    0.00%  700,000    1,400.00      0.00
PTR       0.270   0.000    0.00%    9,412    2,541.24      0.00
VML       0.180   0.000    0.00%    6,000    1,080.00      0.00
WBC      38.800   0.540    1.41%        0        0.00      0.00
WDS      24.730  -0.020   -0.08%    1,288   31,852.24    -25.76
TOTAL                                    1,127,612.55 20,312.48
