Portfolio value change between 2025-12-12 and 2025-12-15

Ticker    Close     +/-       %    Units       Value    Day Gain
ALK       1.130   0.010   0.89%  153,181  173,094.53    1,531.81
AMP       1.810  -0.035  -1.90%   70,000  126,700.00   -2,450.00
ASM       0.575  -0.005  -0.86%   57,458   33,038.35     -287.29
BHP      44.270  -1.320  -2.90%   16,361  724,301.47  -21,596.52
CAN       0.008   0.000   0.00%   44,090      352.72        0.00
CBA     155.080  -0.880  -0.56%        0        0.00        0.00
CNB       0.420  -0.005  -1.18%   10,000    4,200.00      -50.00
E25       0.305  -0.005  -1.61%   20,000    6,100.00     -100.00
ERA       0.002   0.000   0.00%  700,000    1,400.00        0.00
PTR       0.260  -0.010  -3.70%    9,412    2,447.12      -94.12
VML       0.180   0.000   0.00%    6,000    1,080.00        0.00
WBC      38.890   0.090   0.23%        0        0.00        0.00
WDS      24.550  -0.180  -0.73%    1,288   31,620.40     -231.84
TOTAL                                   1,104,334.59  -23,277.96
