Portfolio value change between 2025-12-31 and 2026-01-02

Ticker    Close    +/-      %    Units       Value  Day Gain
ALK       1.380  0.035  2.60%  153,181  211,389.78  5,361.33
AMP       1.830  0.010  0.55%   70,000  128,100.00    700.00
ASM       0.705  0.010  1.44%   57,458   40,507.89    574.58
BHP      45.760  0.270  0.59%   16,361  748,679.36  4,417.47
CAN       0.009  0.000  0.00%   44,090      396.81      0.00
CBA     161.120  0.550  0.34%        0        0.00      0.00
CNB       0.490  0.040  8.89%   10,000    4,900.00    400.00
E25       0.330  0.010  3.13%   20,000    6,600.00    200.00
ERA       0.003  0.000  0.00%  700,000    2,100.00      0.00
PTR       0.300  0.025  9.09%    9,412    2,823.60    235.30
VML       0.170  0.000  0.00%    6,000    1,020.00      0.00
WBC      38.950  0.350  0.91%        0        0.00      0.00
WDS      23.660  0.070  0.30%    1,288   30,474.08     90.16
TOTAL                                 1,176,991.52 11,978.84
