Portfolio value change between 2026-03-04 and 2026-03-05

Ticker    Close     +/-       %    Units       Value   Day Gain
ALK       1.650   0.000   0.00%  153,181  252,748.65       0.00
AMP       1.235   0.005   0.41%   70,000   86,450.00     350.00
ASM       1.610   0.055   3.54%   57,458   92,507.38   3,160.19
BHP      55.150  -0.530  -0.95%   16,361  902,309.15  -8,671.33
CAN       0.007   0.000   0.00%   44,090      308.63       0.00
CBA     172.660   0.750   0.44%        0        0.00       0.00
CNB       0.475  -0.025  -5.00%   10,000    4,750.00    -250.00
E25       0.385   0.060  18.46%   20,000    7,700.00   1,200.00
ERA       0.003   0.000   0.00%  700,000    2,100.00       0.00
PTR       0.200   0.000   0.00%    9,412    1,882.40       0.00
VML       0.170   0.005   3.03%    6,000    1,020.00      30.00
WBC      41.370   0.240   0.58%        0        0.00       0.00
WDS      30.450  -0.300  -0.98%    1,288   39,219.60    -386.40
TOTAL                                   1,390,995.81  -4,567.54
