Portfolio value change between 2026-03-31 and 2026-04-01

Ticker    Close    +/-       %    Units       Value   Day Gain
ALK       1.540  0.120   8.45%  153,181  235,898.74  18,381.72
AMP       1.315  0.005   0.38%   70,000   92,050.00     350.00
ASM       1.485  1.485   0.00%   57,458   85,325.13  85,325.13
BHP      52.560  2.170   4.31%   16,361  859,934.16  35,503.37
CAN       0.006  0.000   0.00%   44,090      264.54       0.00
CBA     171.900  4.200   2.50%        0        0.00       0.00
CNB       0.450  0.450   0.00%   10,000    4,500.00   4,500.00
E25       0.315  0.015   5.00%   20,000    6,300.00     300.00
ERA       0.003  0.000   0.00%  700,000    2,100.00       0.00
PTR       0.100  0.015  17.65%    9,412      941.20     141.18
VML       0.140  0.005   3.70%    6,000      840.00      30.00
WBC      40.060  0.590   1.49%        0        0.00       0.00
WDS      35.090  0.040   0.11%    1,288   45,195.92      51.52
TOTAL                                  1,333,349.69 144,582.92
