Portfolio value change between 2026-04-17 and 2026-04-20

Ticker    Close     +/-        %    Units       Value   Day Gain
ALK       1.765  -0.045   -2.49%  153,181  270,364.46  -6,893.15
AMP       1.430   0.005    0.35%   70,000  100,100.00     350.00
ASM       1.595   0.000    0.00%   57,458   91,645.51       0.00
BHP      55.690  -0.230   -0.41%   16,361  911,144.09  -3,763.03
CAN       0.006   0.000    0.00%   44,090      264.54       0.00
CBA     180.150   1.920    1.08%        0        0.00       0.00
CNB       0.495   0.030    6.45%   10,000    4,950.00     300.00
E25       0.320  -0.005   -1.54%   20,000    6,400.00    -100.00
ERA       0.003  -0.001  -25.00%  700,000    2,100.00    -700.00
PTR       0.105  -0.005   -4.55%    9,412      988.26     -47.06
VML       0.150   0.000    0.00%    6,000      900.00       0.00
WBC      40.020   0.290    0.73%        0        0.00       0.00
WDS      31.770  -0.960   -2.93%    1,288   40,919.76  -1,236.48
TOTAL                                    1,429,776.62 -12,089.72
