Portfolio value change between 2026-05-12 and 2026-05-13

Ticker    Close      +/-        %    Units         Value   Day Gain
ALK       1.555    0.025    1.63%  153,181    238,196.45   3,829.52
AMP       1.525    0.025    1.67%   70,000    106,750.00   1,750.00
ASM       1.660   -0.030   -1.78%   57,458     95,380.28  -1,723.74
BHP      61.520    1.740    2.91%   16,361  1,006,528.72  28,468.14
CAN       0.005    0.000    0.00%   44,090        220.45       0.00
CBA     153.670  -17.900  -10.43%        0          0.00       0.00
CNB       0.550    0.010    1.85%   10,000      5,500.00     100.00
E25       0.300    0.013    4.53%   20,000      6,000.00     260.00
ERA       0.003    0.000    0.00%  700,000      2,100.00       0.00
PTR       0.120    0.000    0.00%    9,412      1,129.44       0.00
VML       0.135   -0.010   -6.90%    6,000        810.00     -60.00
WBC      35.570   -1.040   -2.84%        0          0.00       0.00
WDS      30.870    0.130    0.42%    1,288     39,760.56     167.44
TOTAL                                       1,502,375.91  32,791.37
