Portfolio value change between 2026-05-13 and 2026-05-14

Ticker    Close     +/-       %    Units         Value   Day Gain
ALK       1.575   0.020   1.29%  153,181    241,260.07   3,063.62
AMP       1.545   0.020   1.31%   70,000    108,150.00   1,400.00
ASM       1.585  -0.075  -4.52%   57,458     91,070.93  -4,309.35
BHP      62.060   0.540   0.88%   16,361  1,015,363.66   8,834.94
CAN       0.005   0.000   0.00%   44,090        220.45       0.00
CBA     156.420   2.750   1.79%        0          0.00       0.00
CNB       0.620   0.070  12.73%   10,000      6,200.00     700.00
E25       0.295  -0.005  -1.67%   20,000      5,900.00    -100.00
ERA       0.003   0.000   0.00%  700,000      2,100.00       0.00
PTR       0.125   0.005   4.17%    9,412      1,176.50      47.06
VML       0.130  -0.005  -3.70%    6,000        780.00     -30.00
WBC      35.720   0.150   0.42%        0          0.00       0.00
WDS      30.620  -0.250  -0.81%    1,288     39,438.56    -322.00
TOTAL                                     1,511,660.18   9,284.27
