Portfolio value change between 2026-05-27 and 2026-05-28

Ticker    Close     +/-        %    Units       Value    Day Gain
ALK       1.400  -0.125   -8.20%  153,181  214,453.40  -19,147.62
AMP       1.570  -0.030   -1.87%   70,000  109,900.00   -2,100.00
ASM       1.425  -0.055   -3.72%   57,458   81,877.65   -3,160.19
BHP      60.550  -0.730   -1.19%   13,000  787,150.00   -9,490.00
CAN       0.004  -0.001  -20.00%   44,090      176.36      -44.09
CBA     161.410  -3.400   -2.06%        0        0.00        0.00
CNB       0.655  -0.030   -4.38%   10,000    6,550.00     -300.00
CSL      97.590  -1.670   -1.68%    2,000  195,180.00   -3,340.00
E25       0.260   0.030   13.04%   20,000    5,200.00      600.00
ERA       0.002  -0.001  -33.33%  700,000    1,400.00     -700.00
PTR       0.105  -0.005   -4.55%    9,412      988.26      -47.06
VML       0.130   0.000    0.00%    6,000      780.00        0.00
WBC      35.920  -0.470   -1.29%        0        0.00        0.00
WDS      30.650  -0.060   -0.20%    1,288   39,477.20      -77.28
TOTAL                                    1,443,132.87  -37,806.25
