Portfolio value change between 2026-06-15 and 2026-06-16

Ticker    Close     +/-       %    Units       Value  Day Gain
ALK       1.575   0.065   4.30%  153,181  241,260.07  9,956.76
AMP       1.590   0.035   2.25%   70,000  111,300.00  2,450.00
ASM       1.295  -0.005  -0.38%   57,458   74,408.11   -287.29
BHP      65.190   0.010   0.02%    9,000  586,710.00     90.00
CAN       0.004   0.000   0.00%   44,090      176.36      0.00
CBA     161.880   0.090   0.06%        0        0.00      0.00
CNB       0.690  -0.010  -1.43%   10,000    6,900.00   -100.00
CSL     106.250   0.720   0.68%    3,000  318,750.00  2,160.00
E25       0.250  -0.005  -1.96%   20,000    5,000.00   -100.00
ERA       0.002   0.000   0.00%  700,000    1,400.00      0.00
PTR       0.100  -0.005  -4.76%    9,412      941.20    -47.06
VML       0.110   0.000   0.00%    6,000      660.00      0.00
WBC      35.750   0.430   1.22%        0        0.00      0.00
WDS      30.040   0.580   1.97%    1,288   38,691.52    747.04
TOTAL                                   1,386,197.26 14,869.45
