Portfolio value change between 2026-08-10 and 2026-08-11

Ticker    Close     +/-         %    Units       Value   Day Gain
ALK       1.602   0.027     1.71%  153,181  245,395.96   4,135.89
AMP       2.335  -0.015    -0.64%   70,000  163,450.00  -1,050.00
ASM       1.195  -0.020    -1.65%   57,458   68,662.31  -1,149.16
BHP      64.270   0.750     1.18%   11,065  711,147.55   8,298.75
CAN       0.003  -0.001   -25.00%   44,090      132.27     -44.09
CBA     173.900  -0.370    -0.21%        0        0.00       0.00
CNB       0.920   0.015     1.66%   10,000    9,200.00     150.00
CSL     138.340   3.870     2.88%    4,000  553,360.00  15,480.00
E25       0.285   0.000     0.00%   20,000    5,700.00       0.00
ERA       0.000  -0.002  -100.00%  700,000        0.00  -1,400.00
PTR       0.100   0.003     3.09%    9,412      941.20      28.24
VML       0.100   0.000     0.00%    6,000      600.00       0.00
WBC      35.550  -0.150    -0.42%        0        0.00       0.00
WDS      32.940   1.150     3.62%    1,288   42,426.72   1,481.20
TOTAL                                     1,801,016.01  25,930.82
