Portfolio value change between 2026-08-25 and 2026-08-26

Ticker    Close     +/-         %    Units       Value    Day Gain
ALK       1.980   0.095     5.04%  153,181  303,298.38   14,552.19
AMP       2.350  -0.050    -2.08%   70,000  164,500.00   -3,500.00
ASM       0.000  -1.170  -100.00%   57,458        0.00  -67,225.86
BHP      67.400  -0.270    -0.40%    9,000  606,600.00   -2,430.00
CAN       0.003   0.000     0.00%   44,090      132.27        0.00
CBA     155.460  -1.550    -0.99%        0        0.00        0.00
CNB       1.035   0.000     0.00%   10,000   10,350.00        0.00
CSL     172.440  -1.200    -0.69%    4,000  689,760.00   -4,800.00
E25       0.285   0.000     0.00%   20,000    5,700.00        0.00
ERA       0.000  -0.002  -100.00%  700,000        0.00   -1,400.00
PTR       0.000  -0.110  -100.00%    9,412        0.00   -1,035.32
VML       0.105   0.005     5.00%    6,000      630.00       30.00
WBC      33.830  -0.190    -0.56%        0        0.00        0.00
WDS      31.920  -1.080    -3.27%    1,288   41,112.96   -1,391.04
TOTAL                                     1,822,083.61  -67,200.02
